"","Potency","MolWt","MolLogP","TPSA","RingCount","NumHeteroAtoms"
"128",21.3313,238.29,3.2812,32.34,3,3
"129",1.9012,250.261,2.9533,80.73,4,5
"130",21.3313,377.469,4.5893,55.21,4,6
"131",16.9441,341.44,2.776,63.91,3,7
"132",26.8545,295.342,3.3826,56.15,3,5
"133",19.0115,299.345,3.2206,29.54,3,4
"134",26.8545,421.493,4.7853,68.98,4,6
"135",19.0115,337.379,3.2488,60.62,4,6
"136",26.8545,321.402,1.4519,97.47,3,7
"137",1.6944,256.261,3.31362,61.29,3,5
"138",11.9955,309.325,2.66622,64.86,4,6
"139",15.1014,293.323,2.4617,64.11,3,7
"140",15.1014,262.338,1.97642,60.67,2,6
"141",6.7456,278.289,2.1464,74.45,3,7
"142",11.9955,402.479,3.80072,86.09,4,7
"143",7.5686,390.531,5.7055,61.02,4,5
"144",11.9955,305.359,2.3312,73.34,3,7
"145",21.3313,359.407,3.0999,77.69,3,8
"146",11.9955,342.826,4.7025,41.9,3,5
"147",11.9955,357.413,4.65052,47.79,5,5
"148",0.0151,357.479,2.9861,61.44,3,6
"149",19.0115,205.282,3.12712,22.12,2,3
"150",0.6746,290.392,2.84584,60.67,2,6
"151",0.1069,245.285,3.7781,41.57,4,3
"152",15.1014,394.424,1.5298,125.4,3,9
"153",5.3582,320.396,4.1437,70.67,4,5
"154",15.1014,332.338,4.0163,70.67,4,6
"155",10.691,303.321,4.0752,70.92,4,5
"156",7.5686,346.452,3.22508,80.05,2,6
"157",21.3313,359.414,4.42,86.46,5,7
"158",13.4591,258.712,2.94032,56.21,3,5
"159",11.9955,353.369,4.49972,50.8,3,8
"160",0.3793,254.293,2.29552,65.44,3,5
"161",15.1014,340.404,4.08302,71.34,3,6
"162",8.4921,356.809,4.1751,54.71,4,6
"163",10.691,266.344,3.94362,27.05,3,3
"164",0.9528,444.535,5.0631,76.58,5,7
"165",9.5283,307.766,2.8134,72.7,3,8
"166",19.0115,277.349,2.7258,57.01,2,6
"167",23.9341,236.296,2.2713,51.22,2,5
"168",21.3313,364.357,3.82132,89.8,4,7
"169",15.1014,253.265,1.6156,72.7,3,6
"170",9.5283,262.378,3.62728,52.89,2,4
"171",3.7933,245.285,3.7781,41.57,4,3
"172",7.5686,305.289,3.7915,72.45,4,5
"173",4.7755,291.134,3.8413,41.99,2,7
